Nfactura,CODCLI,CODART,Fecha,Unidades,Precio,Costo
58,13,1,2013-03-03,22,551.02,413.27
59,13,2,2013-03-04,17,116.99,98.27
60,13,4,2013-03-05,24,269.99,213.29
61,13,5,2013-03-06,21,494.99,391.04
62,13,12,2013-03-07,32,42.8,35.95
63,13,13,2013-03-08,81,43.19,36.28
64,13,3,2013-03-09,1,314.99,267.74
395,13,1,2014-02-03,20,551.02,413.27
396,13,2,2014-02-04,16,116.99,98.27
397,13,4,2014-02-05,22,269.99,213.29
398,13,5,2014-02-06,19,494.99,391.04
399,13,12,2014-02-07,29,42.8,35.95
400,13,13,2014-02-08,73,43.19,36.28
401,13,3,2014-02-09,1,314.99,267.74
776,13,1,2015-02-19,22,551.02,413.27
777,13,2,2015-02-20,17,116.99,98.27
778,13,4,2015-02-21,24,269.99,213.29
779,13,5,2015-02-22,21,494.99,391.04
780,13,12,2015-02-23,32,42.8,35.95
781,13,13,2015-02-24,81,43.19,36.28
782,13,3,2015-02-25,18,314.99,267.74
955,13,1,2015-08-17,27,551.02,413.27
956,13,2,2015-08-18,21,116.99,98.27
957,13,4,2015-08-19,29,269.99,213.29
958,13,5,2015-08-20,25,494.99,391.04
959,13,12,2015-08-21,39,42.8,35.95
960,13,13,2015-08-22,98,43.19,36.28
961,13,3,2015-08-23,1,314.99,267.74
1292,13,1,2016-07-19,24,551.02,413.27
1293,13,2,2016-07-20,19,116.99,98.27
1294,13,4,2016-07-21,26,269.99,213.29
1295,13,5,2016-07-22,23,494.99,391.04
1296,13,12,2016-07-23,35,42.8,35.95
1297,13,13,2016-07-24,88,43.19,36.28
1298,13,3,2016-07-25,1,314.99,267.74
1673,13,1,2017-08-04,27,551.02,413.27
1674,13,2,2017-08-05,21,116.99,98.27
1675,13,4,2017-08-06,29,269.99,213.29
1676,13,5,2017-08-07,25,494.99,391.04
1677,13,12,2017-08-08,39,42.8,35.95
1678,13,13,2017-08-09,97,43.19,36.28
1679,13,3,2017-08-10,1,314.99,267.74
